Iter 3433 (Opt 430): Train loss 0.355, Learning Rate 5.546e-05, It/sec 0.524, Tokens/sec 304.681, Trained Tokens 2037073, Peak mem 68.597 GB
Iter 3513 (Opt 440): Train loss 0.325, Learning Rate 5.358e-05, It/sec 0.506, Tokens/sec 308.543, Trained Tokens 2085875, Peak mem 68.597 GB
Iter 3593 (Opt 450): Train loss 0.324, Learning Rate 5.170e-05, It/sec 0.500, Tokens/sec 304.357, Trained Tokens 2134551, Peak mem 68.597 GB
Iter 3673 (Opt 460): Train loss 0.347, Learning Rate 4.981e-05, It/sec 0.524, Tokens/sec 299.527, Trained Tokens 2180242, Peak mem 68.597 GB
Iter 3753 (Opt 470): Train loss 0.353, Learning Rate 4.792e-05, It/sec 0.514, Tokens/sec 302.515, Trained Tokens 2227365, Peak mem 68.597 GB
Iter 3833 (Opt 480): Train loss 0.337, Learning Rate 4.604e-05, It/sec 0.517, Tokens/sec 297.072, Trained Tokens 2273302, Peak mem 68.597 GB
Iter 3913 (Opt 490): Train loss 0.325, Learning Rate 4.416e-05, It/sec 0.525, Tokens/sec 298.384, Trained Tokens 2318763, Peak mem 68.597 GB
Iter 3993 (Opt 500): Train loss 0.315, Learning Rate 4.229e-05, It/sec 0.486, Tokens/sec 312.390, Trained Tokens 2370133, Peak mem 68.597 GB
Iter 4073 (Opt 510): Train loss 0.252, Learning Rate 4.043e-05, It/sec 0.538, Tokens/sec 295.490, Trained Tokens 2414049, Peak mem 68.597 GB
Iter 4153 (Opt 520): Train loss 0.303, Learning Rate 3.858e-05, It/sec 0.527, Tokens/sec 300.110, Trained Tokens 2459598, Peak mem 68.597 GB
Iter 4233 (Opt 530): Train loss 0.323, Learning Rate 3.676e-05, It/sec 0.509, Tokens/sec 307.212, Trained Tokens 2507846, Peak mem 68.597 GB
Iter 4313 (Opt 540): Train loss 0.360, Learning Rate 3.494e-05, It/sec 0.512, Tokens/sec 311.925, Trained Tokens 2556566, Peak mem 68.597 GB
Iter 4393 (Opt 550): Train loss 0.359, Learning Rate 3.316e-05, It/sec 0.518, Tokens/sec 297.426, Trained Tokens 2602514, Peak mem 68.597 GB
Iter 4473 (Opt 560): Train loss 0.330, Learning Rate 3.139e-05, It/sec 0.493, Tokens/sec 312.443, Trained Tokens 2653196, Peak mem 68.597 GB
Iter 4553 (Opt 570): Train loss 0.328, Learning Rate 2.965e-05, It/sec 0.518, Tokens/sec 306.737, Trained Tokens 2700530, Peak mem 68.597 GB
Iter 4633 (Opt 580): Train loss 0.331, Learning Rate 2.794e-05, It/sec 0.531, Tokens/sec 303.224, Trained Tokens 2746223, Peak mem 68.597 GB
/opt/homebrew/Caskroom/miniforge/base/lib/python3.12/multiprocessing/resource_tracker.py:279: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '
